data_level,database_path,name,review_scope,rows,sql_schema,table_id
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,cells,see_preserved_release_review_status,59,"CREATE TABLE cells (cell_id TEXT PRIMARY KEY, name TEXT NOT NULL, ontology_id TEXT, mapping_status TEXT)",ATLAS_TABLE:cells
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,cohorts,see_preserved_release_review_status,66,"CREATE TABLE cohorts (cohort_id TEXT PRIMARY KEY, dataset_id TEXT, accession TEXT, study_id TEXT, participants TEXT, ancestry TEXT, species TEXT, tissue TEXT, cell_type TEXT, disease TEXT, intervention TEXT, sample_count TEXT, donor_count TEXT, parent_cohort TEXT, related_publications TEXT, independence_status TEXT, notes TEXT)",ATLAS_TABLE:cohorts
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,contexts,see_preserved_release_review_status,131,"CREATE TABLE contexts (context_id TEXT PRIMARY KEY, species TEXT, ancestry TEXT, age TEXT, sex TEXT, tissue TEXT, disease TEXT, disease_severity TEXT, treatment_status TEXT, cell_type TEXT, cell_state TEXT, developmental_state TEXT, stimulation TEXT, dose TEXT, duration TEXT, assay TEXT, genomic_background TEXT, time_point TEXT)",ATLAS_TABLE:contexts
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,coverage_gaps,see_preserved_release_review_status,45,"CREATE TABLE coverage_gaps (gap_id TEXT PRIMARY KEY, lane TEXT, description TEXT, status TEXT)",ATLAS_TABLE:coverage_gaps
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,critic_findings,see_preserved_release_review_status,24,"CREATE TABLE critic_findings (finding_id TEXT PRIMARY KEY, critic_run_id TEXT REFERENCES critic_runs, severity TEXT, target_type TEXT, target_id TEXT, challenge TEXT, evidence TEXT, recommendation TEXT, disposition TEXT)",ATLAS_TABLE:critic_findings
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,critic_runs,see_preserved_release_review_status,11,"CREATE TABLE critic_runs (critic_run_id TEXT PRIMARY KEY, role TEXT, scope TEXT, timestamp_start TEXT, timestamp_end TEXT, independence TEXT)",ATLAS_TABLE:critic_runs
discovery_inventory,atlas/candidates/0.3.0/immune_candidate.sqlite,cytokine_inventory,see_preserved_release_review_status,626,"CREATE TABLE cytokine_inventory (inventory_id TEXT PRIMARY KEY, uniprot_accession TEXT, gene_symbol TEXT, resource_annotation_status TEXT, inventory_status TEXT, source_url TEXT, payload TEXT)",ATLAS_TABLE:cytokine_inventory
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,datasets,see_preserved_release_review_status,52,"CREATE TABLE datasets (dataset_id TEXT PRIMARY KEY, cohort_id TEXT REFERENCES cohorts, accession TEXT, study_id TEXT, version TEXT, notes TEXT)",ATLAS_TABLE:datasets
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,edge_assertions,see_preserved_release_review_status,140,"CREATE TABLE edge_assertions (assertion_id TEXT PRIMARY KEY, subject_id TEXT NOT NULL REFERENCES entities, predicate TEXT NOT NULL, object_id TEXT NOT NULL REFERENCES entities, context_id TEXT NOT NULL REFERENCES contexts, measurement TEXT NOT NULL, direction TEXT NOT NULL, evidence_tier TEXT, status TEXT, qualitative_confidence TEXT, contradiction_group TEXT, candidate_path TEXT)",ATLAS_TABLE:edge_assertions
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,entities,see_preserved_release_review_status,209,"CREATE TABLE entities (entity_id TEXT PRIMARY KEY, name TEXT NOT NULL, entity_type TEXT NOT NULL, layer TEXT NOT NULL, external_id TEXT, species TEXT, mapping_status TEXT)",ATLAS_TABLE:entities
