catalog_record_id,evidence_status,retrieved_on,sha256,snapshot_path,source_group,source_id,url,url_role
,public_metadata_snapshot,2026-09-14T18:05:18.909451+00:00,836a8995a4511d0ae3dcb955f985287d7de8d859fd4c3194d020e0a7534426fb,data_dictionary/sources/atlas/GSE116698.soft.txt,atlas,SOURCE_7eb7f5769fdc85e967,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE116698&targ=self&form=text&view=full,
,public_metadata_snapshot,2026-09-14T18:05:19.958518+00:00,c7ee64a15236aebce7b0a2246b28c9a88180a8fd24c5b94258e83b7ad619cc6e,data_dictionary/sources/atlas/GSE202186.soft.txt,atlas,SOURCE_6d32f1788aca6e0c2f,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202186&targ=self&form=text&view=full,
,public_metadata_snapshot,2026-09-14T18:05:20.835167+00:00,c46fb9a2a4cec6d9b9ae5a0c28edc636714b380237dd8e980efb665e95d1a6cd,data_dictionary/sources/atlas/GSE57542.soft.txt,atlas,SOURCE_197801b6ab57731906,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57542&targ=self&form=text&view=full,
,public_metadata_snapshot,2026-09-14T18:05:20.849837+00:00,47f9ebe6f3b275f4a1c3c0aa17e74986fe9f1e28f22f7933eab55de37e90c317,data_dictionary/sources/atlas/GSE74668.soft.txt,atlas,SOURCE_0e6fa324d6d28d33d0,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74668&targ=self&form=text&view=full,
,public_metadata_snapshot,2026-09-14T17:59:20.522779+00:00,9caf691a19141f2e796a2bd05c57b8ede10e39642ab3ff61ac0d16113801f388,data_dictionary/sources/hr_vilage/hf_info.json,hr_vilage,SOURCE_ac84a03787e708764f,https://huggingface.co/api/datasets/xuejun72/HR-VILAGE-3K3M,
,public_metadata_snapshot,2026-09-14T17:59:20.523122+00:00,0d56a488de4ef79fbbd46aecd10ab9c9a5ab9fa987d6df4cef80454bfc74bd21,data_dictionary/sources/hr_vilage/github_commit.json,hr_vilage,SOURCE_279c85c8f0eee3b3d6,https://api.github.com/repos/XuejunSun98/HR-VILAGE-3K3M/commits/main,
,public_metadata_snapshot,2026-09-14T17:59:20.523312+00:00,a06475222d88fa97b219980f7e54ed3f2de47791bc6c22f6b38459445f97e713,data_dictionary/sources/hr_vilage/paper_v2.html,hr_vilage,SOURCE_413075d89015773a4f,https://arxiv.org/html/2505.14725v2,
,public_metadata_snapshot,2026-09-14T18:00:29.834895+00:00,ec16930681a332e7e0512042ff59ff15fe4a6b40b6cad92f6a613dbf2e99c827,data_dictionary/sources/hr_vilage/README.md,hr_vilage,SOURCE_4f93944412cc845b15,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/README.md,
,public_metadata_snapshot,2026-09-14T18:00:29.834600+00:00,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,data_dictionary/sources/hr_vilage/study_meta.csv,hr_vilage,SOURCE_f9925a9585c49d3048,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/study_meta.csv,
,public_metadata_snapshot,2026-09-14T18:00:29.835071+00:00,778a24884e106d3b3b52256a0360ef469d5df63cb3d65d1fbbb8ce711471c51f,data_dictionary/sources/hr_vilage/study_citations.csv,hr_vilage,SOURCE_9daa6e36f7db536843,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/study_citations.csv,
,public_metadata_snapshot,2026-09-14T18:00:30.433203+00:00,aa561def597fee0e3ec0c04cd7ab71f470ec83babfcadf145f0a63c3b0c98b17,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,hr_vilage,SOURCE_51629a5a1c847f1eeb,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/Meta_variable_description.csv,
,public_metadata_snapshot,2026-09-14T18:00:30.454804+00:00,3a3d9000bf17604635aad9c3151fa3e3532f84ee4c19eddfd84bbb4c931759c2,data_dictionary/sources/hr_vilage/gene_expr_colnames.txt,hr_vilage,SOURCE_6ca5a23e6ca1bccd55,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/gene_expr_colnames.txt,
,public_metadata_snapshot,2026-09-14T18:00:30.460264+00:00,2e5428c43a1b2904e24bf7a21d096c10d6342d2d0a90567d4069be57927bf308,data_dictionary/sources/hr_vilage/croissant.json,hr_vilage,SOURCE_160c57ffd1d883f6d8,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/croissant.json,
,public_metadata_snapshot,2026-09-14T18:00:30.956981+00:00,4934d9cdf0a54fddbd1000ceaf1902ec4e18a97848f82e88d3058b15c4b25479,data_dictionary/sources/hr_vilage/hf_file_tree.json,hr_vilage,SOURCE_283286402d8546a3b6,https://huggingface.co/api/datasets/xuejun72/HR-VILAGE-3K3M/tree/c68349578b97af04d1102eac5ad9f30f85362c53?recursive=true&limit=1000,
