link_id,from_assertion_id,to_assertion_id,status,compatibility_report,bridge_evidence_id
LINK_9954480dfc56bd26,XCH_A024,XCH_A017,blocked,"[""XCH_A017:not_reviewed"",""XCH_A017:unknown_disease"",""XCH_A017:unknown_dose"",""XCH_A017:unknown_duration"",""XCH_A017:unknown_genomic_background"",""XCH_A017:unknown_time_point"",""XCH_A017:unknown_treatment_status"",""XCH_A024:unknown_genomic_background"",""XCH_A024:unknown_treatment_status"",""incompatible_cell_state"",""incompatible_cell_type"",""incompatible_stimulation"",""incompatible_tissue"",""missing_reviewed_transition_and_temporal_bridge""]",
LINK_a6dc0c060531e11c,XCH_A009,XCH_A008,blocked,"[""XCH_A008:unknown_genomic_background"",""XCH_A008:unknown_treatment_status"",""XCH_A009:unknown_dose"",""XCH_A009:unknown_duration"",""XCH_A009:unknown_genomic_background"",""XCH_A009:unknown_treatment_status"",""incompatible_cell_state"",""incompatible_cell_type"",""incompatible_disease"",""incompatible_stimulation"",""incompatible_time_point"",""incompatible_tissue"",""missing_reviewed_transition_and_temporal_bridge""]",
LINK_c9605da73c73bfae,XCH_A022,XCH_A019,blocked,"[""XCH_A019:unknown_genomic_background"",""XCH_A019:unknown_treatment_status"",""XCH_A022:unknown_disease"",""XCH_A022:unknown_dose"",""XCH_A022:unknown_genomic_background"",""XCH_A022:unknown_treatment_status"",""incompatible_cell_state"",""incompatible_cell_type"",""incompatible_duration"",""incompatible_stimulation"",""incompatible_time_point"",""incompatible_tissue"",""missing_reviewed_transition_and_temporal_bridge""]",
LINK_cb47c0b7b824c086,XCH_A021,XCH_A020,blocked,"[""XCH_A020:unknown_genomic_background"",""XCH_A021:unknown_dose"",""XCH_A021:unknown_duration"",""XCH_A021:unknown_genomic_background"",""XCH_A021:unknown_stimulation"",""incompatible_cell_state"",""incompatible_cell_type"",""incompatible_disease"",""incompatible_time_point"",""incompatible_tissue"",""missing_reviewed_transition_and_temporal_bridge""]",
LINK_d20a3746124ee2c5,C-A08,C-A09,blocked,"[""C-A08:unknown_disease"",""C-A08:unknown_genomic_background"",""C-A08:unknown_treatment_status"",""C-A09:unknown_disease"",""C-A09:unknown_genomic_background"",""C-A09:unknown_treatment_status"",""incompatible_dose"",""missing_reviewed_transition_and_temporal_bridge""]",
LINK_d3bd6433cc35ad56,C-A10,C-A09,blocked,"[""C-A09:unknown_disease"",""C-A09:unknown_genomic_background"",""C-A09:unknown_treatment_status"",""C-A10:unknown_disease"",""C-A10:unknown_genomic_background"",""C-A10:unknown_treatment_status"",""incompatible_dose"",""missing_reviewed_transition_and_temporal_bridge""]",
LINK_d816c284a1dc3fdf,XCH_A022,XCH_A011,blocked,"[""XCH_A011:unknown_genomic_background"",""XCH_A011:unknown_treatment_status"",""XCH_A022:unknown_disease"",""XCH_A022:unknown_dose"",""XCH_A022:unknown_genomic_background"",""XCH_A022:unknown_treatment_status"",""incompatible_cell_state"",""incompatible_cell_type"",""incompatible_duration"",""incompatible_stimulation"",""incompatible_time_point"",""incompatible_tissue"",""missing_reviewed_transition_and_temporal_bridge""]",
LINK_ec1a4d8359f6a1ae,C-A08,C-A25,blocked,"[""C-A08:unknown_disease"",""C-A08:unknown_genomic_background"",""C-A08:unknown_treatment_status"",""C-A25:no_supporting_transition"",""C-A25:unknown_disease"",""C-A25:unknown_genomic_background"",""C-A25:unknown_treatment_status"",""incompatible_dose"",""incompatible_duration"",""incompatible_time_point"",""missing_reviewed_transition_and_temporal_bridge""]",
LINK_f44dd71564f5f0af,XCH_A021,XCH_A025,blocked,"[""XCH_A021:unknown_dose"",""XCH_A021:unknown_duration"",""XCH_A021:unknown_genomic_background"",""XCH_A021:unknown_stimulation"",""XCH_A025:unknown_disease"",""XCH_A025:unknown_genomic_background"",""incompatible_cell_state"",""incompatible_cell_type"",""incompatible_time_point"",""incompatible_tissue"",""incompatible_treatment_status"",""missing_reviewed_transition_and_temporal_bridge""]",
LINK_fce678d1de69dd70,XCH_A024,XCH_A016,blocked,"[""XCH_A016:no_supporting_transition"",""XCH_A016:not_reviewed"",""XCH_A016:unknown_disease"",""XCH_A016:unknown_dose"",""XCH_A016:unknown_duration"",""XCH_A016:unknown_genomic_background"",""XCH_A016:unknown_time_point"",""XCH_A016:unknown_treatment_status"",""XCH_A024:unknown_genomic_background"",""XCH_A024:unknown_treatment_status"",""incompatible_cell_state"",""incompatible_cell_type"",""incompatible_stimulation"",""incompatible_tissue"",""missing_reviewed_transition_and_temporal_bridge""]",
