study_ID,source_paper_citation,data_citation,transcriptomic_data_link,metadata_link,antibody_link
GSE101709,"Avey S, Mohanty S, Chawla DG, Meng H, et al. Seasonal Variability and Shared Molecular Signatures of Inactivated Influenza Vaccination in Young and Older Adults. J Immunol. 2020 Mar 15;204(6):1661-1673. PMID: 32060136.","Shaw, A.C., Mohanty, S., Meng, H., et al. GEO. https://identifiers.org/geo/GSE101709 (2020)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE101709,https://doi.org/10.21430/M3KVVHM735,https://doi.org/10.21430/M3KVVHM735
GSE59635,"Thakar J, Mohanty S, West AP, Joshi SR, et al. Aging-dependent alterations in gene expression and a mitochondrial signature of responsiveness to human influenza vaccination. Aging (Albany NY). 2015 Jan;7(1):38-52. PMID: 25596819.","Shaw, A.C., Mohanty, S., Joshi, S.R., et al. GEO. https://identifiers.org/geo/GSE59635 (2015)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59635,https://doi.org/10.21430/M38WXGBDTS,https://doi.org/10.21430/M38WXGBDTS
GSE101710,"Zapata HJ, Van Ness PH, Avey S, Siconolfi B, et al. Impact of Aging and HIV Infection on the Function of the C-Type Lectin Receptor MINCLE in Monocytes. J Gerontol A Biol Sci Med Sci. 2019 May 16;74(6):794-801. PMID: 30239628; Avey S, Mohanty S, Chawla DG, Meng H, et al. Seasonal Variability and Shared Molecular Signatures of Inactivated Influenza Vaccination in Young and Older Adults. J Immunol. 2020 Mar 15;204(6):1661-1673. PMID: 32060136.","Shaw, A.C., Mohanty, S., Meng, H., et al. GEO. https://identifiers.org/geo/GSE101710 (2019)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE101710,https://doi.org/10.21430/M3A6GYD5L0,https://doi.org/10.21430/M3A6GYD5L0
GSE47353,"Tsang JS, Schwartzberg PL, Kotliarov Y, Biancotto A, et al. Global analyses of human immune variation reveal baseline predictors of postvaccination responses. Cell. 2014 Apr 10;157(2):499-513. PMID: 24725414.","Tsang, J.S., Schwartzberg, P.L., Kotliarov, Y., et al. GEO. https://identifiers.org/geo/GSE47353 (2014)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47353,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47353,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47353
GSE190001_PRIME,"Rinchai D, Deola S, Zoppoli G, Kabeer BSA, et al. High-temporal resolution profiling reveals distinct immune trajectories following the first and second doses of COVID-19 mRNA vaccines. Sci Adv. 2022 Nov 11;8(45):eabp9961. PMID: 36367935.","Rinchai, D., Deola, S., Gentilcore, G., et al. GEO. https://identifiers.org/geo/GSE190001 (2022)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190001,https://pmc.ncbi.nlm.nih.gov/articles/PMC9651857/ (Supplementary S1),https://pmc.ncbi.nlm.nih.gov/articles/PMC9651857/ (Supplementary S1)
GSE190001_BOOST,"Rinchai D, Deola S, Zoppoli G, Kabeer BSA, et al. High-temporal resolution profiling reveals distinct immune trajectories following the first and second doses of COVID-19 mRNA vaccines. Sci Adv. 2022 Nov 11;8(45):eabp9961. PMID: 36367935.","Rinchai, D., Deola, S., Gentilcore, G., et al. GEO. https://identifiers.org/geo/GSE190001 (2022)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190001,https://pmc.ncbi.nlm.nih.gov/articles/PMC9651857/ (Supplementary S1),https://pmc.ncbi.nlm.nih.gov/articles/PMC9651857/ (Supplementary S1)
SDY311,"Furman D, Chang J, Lartigue L, Bolen CR, et al. Expression of specific inflammasome gene modules stratifies older individuals into two extreme clinical and immunological states. Nat Med. 2017 Feb;23(2):174-184. PMID: 28092664; Blazkova J, Gupta S, Liu Y, Gaudilliere B, et al. Multicenter Systems Analysis of Human Blood Reveals Immature Neutrophils in Males and During Pregnancy. J Immunol. 2017 Mar 15;198(6):2479-2488. PMID: 28179497; Alpert A, Pickman Y, Leipold M, Rosenberg-Hasson Y, et al. A clinically meaningful metric of immune age derived from high-dimensional longitudinal monitoring. Nat Med. 2019 Mar;25(3):487-495. PMID: 30842675; Tomic A, Tomic I, Dekker CL, Maecker HT, Davis MM. The FluPRINT dataset, a multidimensional analysis of the influenza vaccine imprint on the immune system. Sci Data. 2019 Oct 21;6(1):214. PMID: 31636302.",ImmPort. https://doi.org/10.21430/M33MSDRJ55 (2017),https://www.immport.org/shared/study/SDY311,https://doi.org/10.21430/M33MSDRJ55,https://doi.org/10.21430/M33MSDRJ55
SDY112,"Furman D, Chang J, Lartigue L, Bolen CR, et al. Expression of specific inflammasome gene modules stratifies older individuals into two extreme clinical and immunological states. Nat Med. 2017 Feb;23(2):174-184. PMID: 28092664; Blazkova J, Gupta S, Liu Y, Gaudilliere B, et al. Multicenter Systems Analysis of Human Blood Reveals Immature Neutrophils in Males and During Pregnancy. J Immunol. 2017 Mar 15;198(6):2479-2488. PMID: 28179497; Alpert A, Pickman Y, Leipold M, Rosenberg-Hasson Y, et al. A clinically meaningful metric of immune age derived from high-dimensional longitudinal monitoring. Nat Med. 2019 Mar;25(3):487-495. PMID: 30842675; Tomic A, Tomic I, Dekker CL, Maecker HT, Davis MM. The FluPRINT dataset, a multidimensional analysis of the influenza vaccine imprint on the immune system. Sci Data. 2019 Oct 21;6(1):214. PMID: 31636302.",ImmPort. https://doi.org/10.21430/M320H8XYFG (2017),https://www.immport.org/shared/study/SDY112,https://doi.org/10.21430/M320H8XYFG,https://doi.org/10.21430/M320H8XYFG
SDY315,"Furman D, Chang J, Lartigue L, Bolen CR, et al. Expression of specific inflammasome gene modules stratifies older individuals into two extreme clinical and immunological states. Nat Med. 2017 Feb;23(2):174-184. PMID: 28092664; Blazkova J, Gupta S, Liu Y, Gaudilliere B, et al. Multicenter Systems Analysis of Human Blood Reveals Immature Neutrophils in Males and During Pregnancy. J Immunol. 2017 Mar 15;198(6):2479-2488. PMID: 28179497; Alpert A, Pickman Y, Leipold M, Rosenberg-Hasson Y, et al. A clinically meaningful metric of immune age derived from high-dimensional longitudinal monitoring. Nat Med. 2019 Mar;25(3):487-495. PMID: 30842675; Tomic A, Tomic I, Dekker CL, Maecker HT, Davis MM. The FluPRINT dataset, a multidimensional analysis of the influenza vaccine imprint on the immune system. Sci Data. 2019 Oct 21;6(1):214. PMID: 31636302.",ImmPort. https://doi.org/10.21430/M3CJT3NCT2 (2017),https://www.immport.org/shared/study/SDY315,https://doi.org/10.21430/M3CJT3NCT2,https://doi.org/10.21430/M3CJT3NCT2
GSE207750,"Forst CV, Chung M, Hockman M, Lashua L, et al. Vaccination History, Body Mass Index, Age, and Baseline Gene Expression Predict Influenza Vaccination Outcomes. Viruses. 2022 Nov 4;14(11):2446. PMID: 36366544; Hockman M, Matthews J, Carlock MA, Ross TM, et al. Obese individuals exhibit distinct temporal gene expression dynamics in response to influenza vaccination. Microbiol Spectr. 2025 Aug 5;13(8):e0335424. PMID: 40548708.","Gresham, D., Forst, C., Hockman, M., et al. GEO. https://identifiers.org/geo/GSE207750 (2022)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207750,https://pmc.ncbi.nlm.nih.gov/articles/PMC9697051/ (Table S1),https://pmc.ncbi.nlm.nih.gov/articles/PMC9697051/ (Table S1)
GSE246525,"Odak I, Riemann L, Sandrock I, Cossmann A, et al. Systems biology analysis reveals distinct molecular signatures associated with immune responsiveness to the BNT162b COVID-19 vaccine. EBioMedicine. 2024 Jan;99:104947. PMID: 38160529.","Odak, I., Riemann, L., Sandrock, I., et al. GEO. https://identifiers.org/geo/GSE246525 (2024)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246525,https://pmc.ncbi.nlm.nih.gov/articles/PMC10792461/ (Table S3),https://pmc.ncbi.nlm.nih.gov/articles/PMC10792461/ (Table S3)
GSE201533,"Lee HK, Go J, Sung H, Kim SW, et al. Heterologous ChAdOx1-BNT162b2 vaccination in Korean cohort induces robust immune and antibody responses that includes Omicron. iScience. 2022 Jun 17;25(6):104473. PMID: 35637788; Lee HK, Hoechstetter MA, Buchner M, Pham TT, et al. Analysis of immune responses in patients with CLL after heterologous COVID-19 vaccination. Blood Adv. 2023 May 23;7(10):2214-2227. PMID: 36630562; Lee HK, Cho G, Huh JW, Furth PA, et al. Rare germline JAK/STAT variants in a Korean cohort amplify innate immune responses to vaccination. iScience. 2025 Dec 19;28(12):114110. PMID: 41467183.","Lee, H. GEO. https://identifiers.org/geo/GSE201533 (2022)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201533,https://data.mendeley.com/datasets/j7pbc5ytgd/1 (Supplementary Data 1. individuals.xlsx),https://data.mendeley.com/datasets/j7pbc5ytgd/1 (Supplementary Data 2. Antibody.xlsx)
GSE190747,"Lee HK, Knabl L, Moliva JI, Knabl L Sr, et al. mRNA vaccination in octogenarians 15 and 20 months after recovery from COVID-19 elicits robust immune and antibody responses that include Omicron. Cell Rep. 2022 Apr 12;39(2):110680. PMID: 35395191; Lee HK, Knabl L, Walter M, Knabl L Sr, et al. Prior Vaccination Exceeds Prior Infection in Eliciting Innate and Humoral Immune Responses in Omicron Infected Outpatients. Front Immunol. 2022;13:916686. PMID: 35784346; Hennighausen L, Cho G, Lee SG, Caf Y, et al. Impact of rare JAK/STAT germline mutations on vaccination-induced innate immune responses in a Tyrolian population. Int J Biol Sci. 2026;22(2):519-528. PMID: 41522351.","Lee, H.K., Knabl, L. GEO. https://identifiers.org/geo/GSE190747 (2022)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190747,https://pmc.ncbi.nlm.nih.gov/articles/PMC8947943/ (Table S1),https://pmc.ncbi.nlm.nih.gov/articles/PMC8947943/ (Table S2)
GSE199750,"Ryan FJ, Norton TS, McCafferty C, Blake SJ, et al. A systems immunology study comparing innate and adaptive immune responses in adults to COVID-19 mRNA and adenovirus vectored vaccines. Cell Rep Med. 2023 Mar 21;4(3):100971. PMID: 36871558.","Ryan, F.J., Lynn, D.J. GEO. https://identifiers.org/geo/GSE199750 (2023)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE199750,https://bitbucket.org/lynnlab/covirs/src/master/,https://bitbucket.org/lynnlab/covirs/src/master/
GSE169159,"Arunachalam PS, Scott MKD, Hagan T, Li C, et al. Systems vaccinology of the BNT162b2 mRNA vaccine in humans. Nature. 2021 Aug;596(7872):410-416. PMID: 34252919.","Scott, M.K., Arunachalam, P.S., Hagan, T. GEO. https://identifiers.org/geo/GSE169159 (2021)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE169159,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE169159,https://pmc.ncbi.nlm.nih.gov/articles/PMC8761119/ (Source Data Fig. 1)
GSE29614,"Nakaya HI, Wrammert J, Lee EK, Racioppi L, et al. Systems biology of vaccination for seasonal influenza in humans. Nat Immunol. 2011 Jul 10;12(8):786-95. PMID: 21743478.","Nakaya, H.I., Pulendran, B. GEO. https://identifiers.org/geo/GSE29614 (2011)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29614,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29614,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29614
GSE29615,"Nakaya HI, Wrammert J, Lee EK, Racioppi L, et al. Systems biology of vaccination for seasonal influenza in humans. Nat Immunol. 2011 Jul 10;12(8):786-95. PMID: 21743478.","Nakaya, H.I., Pulendran, B. GEO. https://identifiers.org/geo/GSE29615 (2011)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29615,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29615,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29615
GSE29617,"Nakaya HI, Wrammert J, Lee EK, Racioppi L, et al. Systems biology of vaccination for seasonal influenza in humans. Nat Immunol. 2011 Jul 10;12(8):786-95. PMID: 21743478.","Nakaya, H.I., Pulendran, B. GEO. https://identifiers.org/geo/GSE29617 (2011)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29617,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29617,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29617
GSE48762,"Obermoser G, Presnell S, Domico K, Xu H, et al. Systems scale interactive exploration reveals quantitative and qualitative differences in response to influenza and pneumococcal vaccines. Immunity. 2013 Apr 18;38(4):831-44. PMID: 23601689.",GEO. https://identifiers.org/geo/GSE48762 (2013),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48762,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48762,https://www.immport.org/shared/study/SDY180
GSE45735,"Henn AD, Wu S, Qiu X, Ruda M, et al. High-resolution temporal response patterns to influenza vaccine reveal a distinct human plasma cell gene signature. Sci Rep. 2013;3:2327. PMID: 23900141.","Welle, S.L., Henn, A.D., Zand, M.S. GEO. https://identifiers.org/geo/GSE45735 (2013)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE45735,https://pmc.ncbi.nlm.nih.gov/articles/PMC3728595/ (Supplementary Information),https://pmc.ncbi.nlm.nih.gov/articles/PMC3728595/ (Supplementary Information)
GSE201642,"Lee HK, Hoechstetter MA, Buchner M, Pham TT, et al. Analysis of immune responses in patients with CLL after heterologous COVID-19 vaccination. Blood Adv. 2023 May 23;7(10):2214-2227. PMID: 36630562.","Lee, H. GEO. https://identifiers.org/geo/GSE201642 (2022)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201642,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201642,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906673/ (Supplementary data)
GSE250023,"Sarin KY, Zheng H, Chaichian Y, Arunachalam PS, et al. Impaired innate and adaptive immune responses to BNT162b2 SARS-CoV-2 vaccination in systemic lupus erythematosus. JCI Insight. 2024 Mar 8;9(5):e176556. PMID: 38456511.",GEO. https://identifiers.org/geo/GSE250023 (2024),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250023,https://pmc.ncbi.nlm.nih.gov/articles/PMC10972586/ (Table S1),https://pmc.ncbi.nlm.nih.gov/articles/PMC10972586/ (Supporting Data Values)
challenge_covid19,"Lindeboom, R.G.H., Worlock, K.B., Dratva, L.M. et al. Human SARS-CoV-2 challenge uncovers local and systemic response dynamics. Nature 631, 189–198 (2024). https://doi.org/10.1038/s41586-024-07575-x","Lindeboom, R.G.H., Worlock, K.B., Dratva, L.M. et al. Human SARS-CoV-2 challenge uncovers local and systemic response dynamics. Nature 631, 189–198 (2024). https://doi.org/10.1038/s41586-024-07575-x",https://www.covid19cellatlas.org/index.patient.html,https://www.covid19cellatlas.org/index.patient.html,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41586-024-07575-x/MediaObjects/41586_2024_7575_MOESM4_ESM.xlsx
GSE246937,"Odak, I., Riemann, L., Sandrock, I., Cossmann, A., Ramos, G. M., Hammerschmidt, S. I., ... & Förster, R. (2024). Systems biology analysis reveals distinct molecular signatures associated with immune responsiveness to the BNT162b COVID-19 vaccine. EBioMedicine, 99.","Odak, I., Riemann, L., Sandrock, I., et al. GEO. https://identifiers.org/geo/GSE246937 (2024)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246937,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246937,https://pmc.ncbi.nlm.nih.gov/articles/instance/10792461/bin/mmc13.xlsx
E_MTAB_12993_nose,"Lindeboom RGH, Worlock KB, Dratva LM, Yoshida M, et al. Human SARS-CoV-2 challenge uncovers local and systemic response dynamics. Nature. 2024 Jul 4;631(8019):189-198. PMID: 38898278.","Rosenheim, J., Noursadeghi, M. ArrayExpress. https://identifiers.org/arrayexpress:E-MTAB-12993 (2024)",https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-12993,https://pmc.ncbi.nlm.nih.gov/articles/PMC11222146/ (Supplementary Information),https://pmc.ncbi.nlm.nih.gov/articles/PMC11222146/ (Supplementary Information)
E_MTAB_12993_blood,"Lindeboom RGH, Worlock KB, Dratva LM, Yoshida M, et al. Human SARS-CoV-2 challenge uncovers local and systemic response dynamics. Nature. 2024 Jul 4;631(8019):189-198. PMID: 38898278.","Rosenheim, J., Noursadeghi, M. ArrayExpress. https://identifiers.org/arrayexpress:E-MTAB-12993 (2024)",https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-12993,https://pmc.ncbi.nlm.nih.gov/articles/PMC11222146/ (Supplementary Information),https://pmc.ncbi.nlm.nih.gov/articles/PMC11222146/ (Supplementary Information)
GSE11348,"Proud D, Turner RB, Winther B, Wiehler S, et al. Gene expression profiles during in vivo human rhinovirus infection: insights into the host response. Am J Respir Crit Care Med. 2008 Nov 1;178(9):962-8. PMID: 18658112.","Proud, D., Turner, R.B., Winther, B., et al. GEO. https://identifiers.org/geo/GSE11348 (2008)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11348,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11348,Not applicable
GSE61754,"Davenport EE, Antrobus RD, Lillie PJ, Gilbert S, et al. Transcriptomic profiling facilitates classification of response to influenza challenge. J Mol Med (Berl). 2015 Jan;93(1):105-14. PMID: 25345603.","Davenport, E.E., Antrobus, R.D., Lillie, P.J., et al. GEO. https://identifiers.org/geo/GSE61754 (2014)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE61754,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE61754,Not applicable
GSE90732,"Muller J, Parizotto E, Antrobus R, Francis J, et al. Development of an objective gene expression panel as an alternative to self-reported symptom scores in human influenza challenge trials. J Transl Med. 2017 Jun 8;15(1):134. PMID: 28595644.","Muller, J., Parizotto, E., Antrobus, R., et al. GEO. https://identifiers.org/geo/GSE90732 (2017)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90732,https://pmc.ncbi.nlm.nih.gov/articles/PMC5465537/ (Table S1),Not applicable
GSE155237,"Habibi MS, Thwaites RS, Chang M, Jozwik A, et al. Neutrophilic inflammation in the respiratory mucosa predisposes to RSV infection. Science. 2020 Oct 9;370(6513):eaba9301. PMID: 33033192.","Christopher, C. GEO. https://identifiers.org/geo/GSE155237 (2020)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155237,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155237,Not applicable
