study_ID,source_paper_citation,data_citation,transcriptomic_data_link,metadata_link,antibody_link
GSE247401,"Odak I, Riemann L, Sandrock I, Cossmann A, et al. Systems biology analysis reveals distinct molecular signatures associated with immune responsiveness to the BNT162b COVID-19 vaccine. EBioMedicine. 2024 Jan;99:104947. PMID: 38160529.","Lennart, R., Leonie M., W., Leonie, M., et al. GEO. https://identifiers.org/geo/GSE247401 (2024)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247401,https://pmc.ncbi.nlm.nih.gov/articles/PMC10792461/ (Table S3),Not applicable
GSE265975,"Lucchesi S, Montesi G, Polvere J, Fiorino F, et al. Transcriptomic analysis after SARS-CoV-2 mRNA vaccination reveals a specific gene signature in low-responder hemodialysis patients. Front Immunol. 2025;16:1508659. PMID: 40370459.","Lucchesi, S., Santoro, F., Pastore, G., et al. GEO. https://identifiers.org/geo/GSE265975 (2024)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE265975,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE265975,Not applicable
GSE102012,"Wimmers F, Donato M, Kuo A, Ashuach T, et al. The single-cell epigenomic and transcriptional landscape of immunity to influenza vaccination. Cell. 2021 Jul 22;184(15):3915-3935.e21. PMID: 34174187.","Kazmin, D.A., Hagan, T., Cortese, M., et al. GEO. https://identifiers.org/geo/GSE102012 (2021)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102012,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102012,Not applicable
GSE217770,"Aydillo T, Gonzalez-Reiche AS, Stadlbauer D, Amper MA, et al. Transcriptome signatures preceding the induction of anti-stalk antibodies elicited after universal influenza vaccination. NPJ Vaccines. 2022 Dec 10;7(1):160. PMID: 36496417.","Aydillo, T., Gonzalez-Reiche, A.S., Stadlbauer, D., et al. GEO. https://identifiers.org/geo/GSE217770 (2022)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217770,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217770,Not applicable
GSE230494,"Thwaites RS, Uruchurtu ASS, Negri VA, Cole ME, et al. Early mucosal events promote distinct mucosal and systemic antibody responses to live attenuated influenza vaccine. Nat Commun. 2023 Dec 5;14(1):8053. PMID: 38052824.","Thwaites, R.S. GEO. https://identifiers.org/geo/GSE230494 (2023)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230494,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE230494,https://pmc.ncbi.nlm.nih.gov/articles/PMC10697962/ (Source Data)
GSE52005,"Cao RG, Suarez NM, Obermoser G, Lopez SM, et al. Differences in antibody responses between trivalent inactivated influenza vaccine and live attenuated influenza vaccine correlate with the kinetics and magnitude of interferon signaling in children. J Infect Dis. 2014 Jul 15;210(2):224-33. PMID: 24495909.","Cao, R.G., Obermoser, G., Suarez, N.M., et al. GEO. https://identifiers.org/geo/GSE52005 (2014)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52005,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE52005,Not applicable
GSE107990,"Narang V, Lu Y, Tan C, Camous XFN, et al. Influenza Vaccine-Induced Antibody Responses Are Not Impaired by Frailty in the Community-Dwelling Elderly With Natural Influenza Exposure. Front Immunol. 2018;9:2465. PMID: 30405641; Monaco G, Lee B, Xu W, Mustafah S, et al. RNA-Seq Signatures Normalized by mRNA Abundance Allow Absolute Deconvolution of Human Immune Cell Types. Cell Rep. 2019 Feb 5;26(6):1627-1640.e7. PMID: 30726743; Carre C, Wong G, Narang V, Tan C, et al. Endoplasmic reticulum stress response and bile acid signatures associate with multi-strain seroresponsiveness during elderly influenza vaccination. iScience. 2021 Sep 24;24(9):102970. PMID: 34471863.","Larbi, A., Poidinger, M., Visan, L. GEO. https://identifiers.org/geo/GSE107990 (2018)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107990,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107990,Not applicable
GSE281864,"Rinchai D, Deola S, Kabeer BSA, Gentilcore G, et al. Temporal Dynamics of Transcriptional Responses to Repeated mRNA Vaccination: Insights from Third Dose Profiling. bioRxiv. 2025. doi: 10.1101/2025.01.09.631990. Preprint.","Rinchai, D., Deola, S., Gentilcore, G., et al. GEO. https://identifiers.org/geo/GSE281864 (2025)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE281864,https://www.biorxiv.org/content/10.1101/2025.01.09.631990v1.supplementary-material (Table S1),Not applicable
EMTAB10026,"Stephenson, E., Reynolds, G., Botting, R.A. et al. Single-cell multi-omics analysis of the immune response in COVID-19. Nat Med 27, 904–916 (2021). https://doi.org/10.1038/s41591-021-01329-2","Morgan, M. ArrayExpress. https://identifiers.org/arrayexpress:E-MTAB-10026 (2021)",https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-10026,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-10026,Not applicable
eskd_covid19,"Stephenson, E., Macdonald-Dunlop, E., Dratva, L.M., Lindeboom, R.G., Tuong, Z.K., Tun, W.M., Kretschmer, L., Buang, N.B., Ballereau, S., Cabantaus, M. and Peñalver, A., 2025. Temporal multi-omics analysis of COVID-19 in end-stage kidney disease. Cell Genomics, 5(8).","Stephenson, E., Macdonald-Dunlop, E., Dratva, L.M., Lindeboom, R.G., Tuong, Z.K., Tun, W.M., Kretschmer, L., Buang, N.B., Ballereau, S., Cabantaus, M. and Peñalver, A., 2025. Temporal multi-omics analysis of COVID-19 in end-stage kidney disease. Cell Genomics, 5(8).",https://www.covid19cellatlas.org/index.patient.html,https://www.covid19cellatlas.org/index.patient.html,Not applicable
GSE201534,"Lee HK, Go J, Sung H, Kim SW, et al. Heterologous ChAdOx1-BNT162b2 vaccination in Korean cohort induces robust immune and antibody responses that includes Omicron. iScience. 2022 Jun 17;25(6):104473. PMID: 35637788; Lee HK, Hoechstetter MA, Buchner M, Pham TT, et al. Analysis of immune responses in patients with CLL after heterologous COVID-19 vaccination. Blood Adv. 2023 May 23;7(10):2214-2227. PMID: 36630562; Lee HK, Cho G, Huh JW, Furth PA, et al. Rare germline JAK/STAT variants in a Korean cohort amplify innate immune responses to vaccination. iScience. 2025 Dec 19;28(12):114110. PMID: 41467183.","Lee, H. GEO. https://identifiers.org/geo/GSE201534 (2022)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201534,https://data.mendeley.com/datasets/j7pbc5ytgd/1 (Supplementary Data 1. individuals.xlsx),https://data.mendeley.com/datasets/j7pbc5ytgd/1 (Supplementary Data 2. Antibody.xlsx)
GSE247917,"Ivanova, E.N., Shwetar, J., Devlin, J.C., Buus, T.B., Gray-Gaillard, S., Koide, A., Cornelius, A., Samanovic, M.I., Herrera, A., Mimitou, E.P. and Zhang, C., 2023. mRNA COVID-19 vaccine elicits potent adaptive immune response without the acute inflammation of SARS-CoV-2 infection. Iscience, 26(12).",GEO. https://identifiers.org/geo/GSE247917 (2023),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247917,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247917,Not applicable
GSE195673,"Kim, W., Zhou, J.Q., Horvath, S.C., Schmitz, A.J., Sturtz, A.J., Lei, T., Liu, Z., Kalaidina, E., Thapa, M., Alsoussi, W.B. and Haile, A., 2022. Germinal centre-driven maturation of B cell response to mRNA vaccination. Nature, 604(7904), pp.141-145.","Kim, W., Zhou, J.Q., Horvath, S.C., Schmitz, A.J., Sturtz, A.J., Lei, T., Liu, Z., Kalaidina, E., Thapa, M., Alsoussi, W.B. and Haile, A., 2022. Germinal centre-driven maturation of B cell response to mRNA vaccination. Nature, 604(7904), pp.141-145.",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE195673,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE195673,Not applicable
