Entry	Entry Name	Reviewed	Gene Names (primary)	Gene Names	Protein names	Organism (ID)	Keyword ID	Gene Ontology IDs
Q99731	CCL19_HUMAN	reviewed	CCL19	CCL19 ELC MIP3B SCYA19	C-C motif chemokine 19 (Beta-chemokine exodus-3) (CK beta-11) (Epstein-Barr virus-induced molecule 1 ligand chemokine) (EBI1 ligand chemokine) (ELC) (Macrophage inflammatory protein 3 beta) (MIP-3-beta) (Small-inducible cytokine A19)	9606	KW-0002; KW-0145; KW-0202; KW-0903; KW-1015; KW-0395; KW-1267; KW-1185; KW-0964; KW-0732	GO:0001768; GO:0001771; GO:0002407; GO:0002408; GO:0002606; GO:0005576; GO:0006874; GO:0006954; GO:0006955; GO:0007154; GO:0008009; GO:0009615; GO:0010560; GO:0030335; GO:0031295; GO:0031732; GO:0031735; GO:0032489; GO:0032731; GO:0032735; GO:0032760; GO:0035022; GO:0038119; GO:0042102; GO:0042379; GO:0043123; GO:0045627; GO:0045807; GO:0046330; GO:0048020; GO:0048245; GO:0048260; GO:0048469; GO:0050921; GO:0051209; GO:0051897; GO:0060491; GO:0061844; GO:0070098; GO:0070374; GO:0071380; GO:0071731; GO:0090023; GO:0097029; GO:0098586; GO:0141214; GO:1901224; GO:2000147; GO:2000549; GO:2000669
Q99988	GDF15_HUMAN	reviewed	GDF15	GDF15 MIC1 PDF PLAB PTGFB	Growth/differentiation factor 15 (GDF-15) (Macrophage inhibitory cytokine 1) (MIC-1) (NSAID-activated gene 1 protein) (NAG-1) (NSAID-regulated gene 1 protein) (NRG-1) (Placental TGF-beta) (Placental bone morphogenetic protein) (Prostate differentiation factor)	9606	KW-0002; KW-0165; KW-0202; KW-0225; KW-1015; KW-0325; KW-0372; KW-1267; KW-1185; KW-0964; KW-0732	GO:0002023; GO:0002686; GO:0005125; GO:0005179; GO:0005576; GO:0005634; GO:0005737; GO:0005794; GO:0007165; GO:0007178; GO:0007179; GO:0007267; GO:0008083; GO:0030512; GO:0032099; GO:0040015; GO:0042803; GO:0043410; GO:0046321; GO:0051897; GO:0060392; GO:0060400; GO:0062197; GO:0070062; GO:0160144; GO:1901558
Q9BXJ3	C1QT4_HUMAN	reviewed	C1QTNF4	C1QTNF4 CTRP4	Complement C1q tumor necrosis factor-related protein 4 (C1q/TNF-related protein 4)	9606	KW-0202; KW-0903; KW-1267; KW-1185; KW-0677; KW-0964; KW-0732	GO:0005576; GO:0032755; GO:0032760; GO:0070105; GO:1901224
Q9GZT5	WN10A_HUMAN	reviewed	WNT10A	WNT10A	Protein Wnt-10a	9606	KW-0217; KW-0225; KW-1015; KW-0038; KW-0272; KW-0325; KW-1063; KW-0449; KW-1007; KW-0597; KW-1267; KW-1185; KW-0964; KW-0732; KW-0879	GO:0001942; GO:0005109; GO:0005125; GO:0005576; GO:0030182; GO:0031069; GO:0042476; GO:0043586; GO:0043588; GO:0045165; GO:0048018; GO:0048730; GO:0048733; GO:0060070; GO:0071560
Q9GZX6	IL22_HUMAN	reviewed	IL22	IL22 ILTIF ZCYTO18 UNQ3099/PRO10096	Interleukin-22 (IL-22) (Cytokine Zcyto18) (IL-10-related T-cell-derived-inducible factor) (IL-TIF)	9606	KW-0002; KW-0202; KW-0903; KW-1015; KW-0325; KW-1267; KW-1185; KW-0964; KW-0732	GO:0005125; GO:0005576; GO:0006953; GO:0006954; GO:0043235; GO:0045518; GO:0050728; GO:0051384; GO:0140368
Q9H1J5	WNT8A_HUMAN	reviewed	WNT8A	WNT8A WNT8D	Protein Wnt-8a (Protein Wnt-8d)	9606	KW-0002; KW-0025; KW-0217; KW-1015; KW-0272; KW-0325; KW-0449; KW-1185; KW-0964; KW-0732; KW-0879	GO:0005109; GO:0005125; GO:0005576; GO:0009948; GO:0009950; GO:0014034; GO:0030182; GO:0031012; GO:0032526; GO:0045165; GO:0045944; GO:0048018; GO:0060070; GO:0062009
Q9H1J7	WNT5B_HUMAN	reviewed	WNT5B	WNT5B	Protein Wnt-5b	9606	KW-0217; KW-1015; KW-0272; KW-0325; KW-0449; KW-1267; KW-1185; KW-0964; KW-0732; KW-0879	GO:0002062; GO:0005102; GO:0005109; GO:0005125; GO:0005576; GO:0005788; GO:0005796; GO:0005886; GO:0009986; GO:0030182; GO:0030335; GO:0030666; GO:0031012; GO:0042692; GO:0045165; GO:0045444; GO:0060070; GO:0070062; GO:0070307; GO:0071300; GO:1904105; GO:2000052
Q9H293	IL25_HUMAN	reviewed	IL25	IL25 IL17E UNQ3120/PRO10272	Interleukin-25 (IL-25) (Interleukin-17E) (IL-17E)	9606	KW-0002; KW-0025; KW-0202; KW-0903; KW-1015; KW-0325; KW-1267; KW-1185; KW-0964; KW-0732	GO:0002437; GO:0005125; GO:0005576; GO:0005886; GO:0010837; GO:0030380; GO:0070534; GO:0072538; GO:0097400
Q9H2A7	CXL16_HUMAN	reviewed	CXCL16	CXCL16 SCYB16 SRPSOX UNQ2759/PRO6714	C-X-C motif chemokine 16 (Scavenger receptor for phosphatidylserine and oxidized low density lipoprotein) (SR-PSOX) (Small-inducible cytokine B16) (Transmembrane chemokine CXCL16)	9606	KW-1003; KW-0145; KW-0202; KW-1015; KW-0325; KW-0472; KW-1267; KW-1185; KW-0964; KW-0732; KW-0812; KW-1133	GO:0005041; GO:0005044; GO:0005576; GO:0005886; GO:0006898; GO:0006935; GO:0008009; GO:0010818; GO:0016020; GO:0030307; GO:0030335; GO:0034097; GO:0034341; GO:0034612
Q9H772	GREM2_HUMAN	reviewed	GREM2	GREM2 CKTSF1B2 DAND3 PRDC	Gremlin-2 (Cysteine knot superfamily 1, BMP antagonist 2) (DAN domain family member 3) (Protein related to DAN and cerberus)	9606	KW-0202; KW-0217; KW-0225; KW-1015; KW-0325; KW-0358; KW-1267; KW-1185; KW-0964; KW-0732	GO:0005576; GO:0008201; GO:0010172; GO:0019221; GO:0030514; GO:0036122; GO:0042802; GO:0048018; GO:0048263; GO:0060300; GO:0140311
Q9HBE4	IL21_HUMAN	reviewed	IL21	IL21	Interleukin-21 (IL-21) (Za11)	9606	KW-0002; KW-0025; KW-0202; KW-0225; KW-1015; KW-0325; KW-1267; KW-1185; KW-0964; KW-0732	GO:0001819; GO:0002314; GO:0002639; GO:0005126; GO:0005134; GO:0005576; GO:0005886; GO:0007165; GO:0007259; GO:0007260; GO:0008284; GO:0016064; GO:0030101; GO:0030890; GO:0032729; GO:0032740; GO:0034105; GO:0042102; GO:0042531; GO:0045954; GO:0048469; GO:0050729; GO:0051607; GO:0061470; GO:0098586
Q9NPF7	IL23A_HUMAN	reviewed	IL23A	IL23A SGRF UNQ2498/PRO5798	Interleukin-23 subunit alpha (IL-23 subunit alpha) (IL-23-A) (Interleukin-23 subunit p19) (IL-23p19)	9606	KW-0002; KW-0051; KW-0202; KW-1015; KW-0391; KW-0395; KW-0399; KW-1267; KW-1185; KW-0964; KW-0732; KW-0797	GO:0001916; GO:0002230; GO:0002827; GO:0005125; GO:0005576; GO:0005788; GO:0006955; GO:0007259; GO:0032693; GO:0032725; GO:0032729; GO:0032733; GO:0032735; GO:0032740; GO:0032760; GO:0032816; GO:0032819; GO:0034105; GO:0038155; GO:0042102; GO:0042104; GO:0043382; GO:0045519; GO:0045672; GO:0050729; GO:0050829; GO:0051135; GO:0051142; GO:0070743; GO:0090023; GO:0097696; GO:1901224; GO:2000318; GO:2000330
Q9NPH9	IL26_HUMAN	reviewed	IL26	IL26 AK155	Interleukin-26 (IL-26) (Protein AK155)	9606	KW-0202; KW-1267; KW-1185; KW-0964; KW-0732	GO:0001819; GO:0005125; GO:0005576; GO:0005829; GO:0006954; GO:0006955; GO:0007259; GO:0007267; GO:0032874; GO:0042742; GO:0043235; GO:0045944; GO:0046427; GO:0050680; GO:0051897; GO:0070374
Q9NR23	GDF3_HUMAN	reviewed	GDF3	GDF3 UNQ222/PRO248	Growth/differentiation factor 3 (GDF-3)	9606	KW-0165; KW-0202; KW-0963; KW-0217; KW-0225; KW-1015; KW-0325; KW-0339; KW-1013; KW-1267; KW-1185; KW-0964; KW-0732	GO:0001501; GO:0001654; GO:0005125; GO:0005576; GO:0005737; GO:0008083; GO:0010453; GO:0019901; GO:0030509; GO:0030514; GO:0045600; GO:0045605
Q9NRJ3	CCL28_HUMAN	reviewed	CCL28	CCL28 SCYA28	C-C motif chemokine 28 (Mucosae-associated epithelial chemokine) (MEC) (Protein CCK1) (Small-inducible cytokine A28)	9606	KW-0002; KW-0025; KW-0145; KW-0202; KW-1015; KW-0325; KW-1267; KW-1185; KW-0964; KW-0732	GO:0001954; GO:0005576; GO:0006935; GO:0006954; GO:0007584; GO:0008009; GO:0030593; GO:0045236; GO:0060326; GO:0061844; GO:0070062; GO:0071222; GO:1903237
Q9NYY1	IL20_HUMAN	reviewed	IL20	IL20 ZCYTO10 UNQ852/PRO1801	Interleukin-20 (IL-20) (Cytokine Zcyto10)	9606	KW-0002; KW-0025; KW-0202; KW-0903; KW-1015; KW-1267; KW-1185; KW-0964; KW-0732	GO:0005125; GO:0005576; GO:0006955; GO:0019221; GO:0030316; GO:0030876; GO:0042531; GO:0045517; GO:0045518; GO:0045606; GO:0045618; GO:0050727; GO:0097028
Q9NZH6	IL37_HUMAN	reviewed	IL37	IL37 FIL1Z IL1F7 IL1H4 IL1RP1	Interleukin-37 (IL-37) (FIL1 zeta) (IL-1X) (Interleukin-1 family member 7) (IL-1F7) (Interleukin-1 homolog 4) (IL-1H) (IL-1H4) (Interleukin-1 zeta) (IL-1 zeta) (Interleukin-1-related protein) (IL-1RP1)	9606	KW-0002; KW-0025; KW-0202; KW-0963; KW-0903; KW-0225; KW-0539; KW-1267; KW-1185; KW-0964	GO:0005125; GO:0005149; GO:0005576; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006954; GO:0006955; GO:0017053; GO:0019221; GO:0031665; GO:0032715; GO:0032720; GO:0042802; GO:0043235; GO:0050727; GO:0050728; GO:0071222; GO:0071635
Q9NZH7	IL36B_HUMAN	reviewed	IL36B	IL36B IL1F8 IL1H2	Interleukin-36 beta (FIL1 eta) (Interleukin-1 eta) (IL-1 eta) (Interleukin-1 family member 8) (IL-1F8) (Interleukin-1 homolog 2) (IL-1H2)	9606	KW-0025; KW-0202; KW-0963; KW-0391; KW-0395; KW-0399; KW-1267; KW-1185; KW-0964	GO:0005125; GO:0005149; GO:0005576; GO:0005737; GO:0006954; GO:0006955; GO:0019221; GO:0045582; GO:0071222
Q9NZH8	IL36G_HUMAN	reviewed	IL36G	IL36G IL1E IL1F9 IL1H1 IL1RP2 UNQ2456/PRO5737	Interleukin-36 gamma (IL-1-related protein 2) (IL-1RP2) (Interleukin-1 epsilon) (IL-1 epsilon) (Interleukin-1 family member 9) (IL-1F9) (Interleukin-1 homolog 1) (IL-1H1)	9606	KW-0002; KW-0025; KW-0202; KW-0963; KW-0391; KW-0395; KW-0399; KW-1267; KW-1185; KW-0964	GO:0005125; GO:0005149; GO:0005576; GO:0005737; GO:0005829; GO:0006954; GO:0006955; GO:0007267; GO:0019221; GO:0071222
Q9P0W0	IFNK_HUMAN	reviewed	IFNK	IFNK UNQ6124/PRO20084	Interferon kappa (IFN-kappa)	9606	KW-0051; KW-0175; KW-0202; KW-0903; KW-1015; KW-1185; KW-0964; KW-0732	GO:0002250; GO:0002286; GO:0002312; GO:0002323; GO:0005125; GO:0005132; GO:0005576; GO:0006355; GO:0006959; GO:0008285; GO:0009615; GO:0019221; GO:0030101; GO:0043330; GO:0045089; GO:0060337; GO:0098586
Q9UBD3	XCL2_HUMAN	reviewed	XCL2	XCL2 SCYC2	Cytokine SCM-1 beta (C motif chemokine 2) (XC chemokine ligand 2)	9606	KW-0145; KW-0202; KW-0903; KW-1015; KW-1185; KW-0964; KW-0732	GO:0005576; GO:0006954; GO:0007165; GO:0008009; GO:0008015; GO:0030335; GO:0048020; GO:0060326; GO:0061844; GO:0070098
Q9UBD9	CLCF1_HUMAN	reviewed	CLCF1	CLCF1 BSF3 CLC NNT1	Cardiotrophin-like cytokine factor 1 (B-cell-stimulating factor 3) (BSF-3) (Cardiotrophin-like cytokine) (Novel neurotrophin-1) (NNT-1)	9606	KW-0002; KW-0025; KW-0202; KW-0225; KW-0325; KW-1267; KW-1185; KW-0964; KW-0732	GO:0002639; GO:0005102; GO:0005125; GO:0005127; GO:0005576; GO:0007166; GO:0007259; GO:0008083; GO:0008284; GO:0019221; GO:0030183; GO:0030890; GO:0043524; GO:0048295; GO:0048711; GO:0097058; GO:0097059; GO:0097696
Q9UBH0	I36RA_HUMAN	reviewed	IL36RN	IL36RN FIL1D IL1F5 IL1HY1 IL1L1 IL1RP3 UNQ1896/PRO4342	Interleukin-36 receptor antagonist protein (IL-36Ra) (FIL1 delta) (IL-1-related protein 3) (IL-1RP3) (Interleukin-1 HY1) (IL-1HY1) (Interleukin-1 delta) (IL-1 delta) (Interleukin-1 family member 5) (IL-1F5) (Interleukin-1 receptor antagonist homolog 1) (IL-1ra homolog 1) (Interleukin-1-like protein 1) (IL-1L1)	9606	KW-0002; KW-0202; KW-0963; KW-0225; KW-1015; KW-0391; KW-0399; KW-1267; KW-1185; KW-0964	GO:0001960; GO:0005125; GO:0005149; GO:0005152; GO:0005576; GO:0005737; GO:0006954; GO:0006955; GO:0019732; GO:0032689; GO:0032700; GO:0071222
Q9UBR5	CKLF_HUMAN	reviewed	CKLF	CKLF CKLF1 HSPC224 UNQ410/PRO772	Chemokine-like factor (C32)	9606	KW-0025; KW-0145; KW-0202; KW-0472; KW-1267; KW-1185; KW-0964; KW-0812; KW-1133	GO:0005576; GO:0008009; GO:0016020; GO:0030593; GO:0032940; GO:0048246; GO:0048247
Q9UBV4	WNT16_HUMAN	reviewed	WNT16	WNT16	Protein Wnt-16	9606	KW-0025; KW-0217; KW-1015; KW-0272; KW-0325; KW-0449; KW-1267; KW-1185; KW-0964; KW-0732; KW-0879	GO:0003408; GO:0005109; GO:0005125; GO:0005576; GO:0005737; GO:0010628; GO:0016055; GO:0030182; GO:0030216; GO:0043616; GO:0045165; GO:0046330; GO:0051897; GO:0060070; GO:0090399; GO:0090403; GO:2001234
Q9UHA7	IL36A_HUMAN	reviewed	IL36A	IL36A FIL1E IL1E IL1F6	Interleukin-36 alpha (FIL1 epsilon) (Interleukin-1 epsilon) (IL-1 epsilon) (Interleukin-1 family member 6) (IL-1F6)	9606	KW-0002; KW-0202; KW-0963; KW-0391; KW-0395; KW-0399; KW-0944; KW-1267; KW-1185; KW-0964	GO:0005125; GO:0005149; GO:0005576; GO:0005737; GO:0006954; GO:0006955; GO:0019221; GO:0071222
Q9UHD0	IL19_HUMAN	reviewed	IL19	IL19 ZMDA1	Interleukin-19 (IL-19) (Melanoma differentiation-associated protein-like protein) (NG.1)	9606	KW-0002; KW-0025; KW-0053; KW-0202; KW-0903; KW-1015; KW-0325; KW-1267; KW-1185; KW-0964; KW-0732	GO:0005125; GO:0005576; GO:0006955; GO:0007165; GO:0010989
Q9UHF5	IL17B_HUMAN	reviewed	IL17B	IL17B IL20 NIRF ZCYTO7 UNQ516/PRO1031	Interleukin-17B (IL-17B) (Cytokine Zcyto7) (Interleukin-20) (IL-20) (Neuronal interleukin-17-related factor)	9606	KW-0202; KW-1015; KW-0325; KW-1267; KW-1185; KW-0964; KW-0732	GO:0001558; GO:0005125; GO:0005576; GO:0005886; GO:0006954; GO:0006955; GO:0007267; GO:0032736; GO:0032754; GO:0070534; GO:0072538; GO:0097400
Q9UK05	GDF2_HUMAN	reviewed	GDF2	GDF2 BMP9	Growth/differentiation factor 2 (GDF-2) (Bone morphogenetic protein 9) (BMP-9)	9606	KW-0002; KW-0037; KW-0165; KW-0202; KW-0225; KW-1015; KW-0325; KW-0339; KW-1267; KW-1185; KW-0964; KW-0732	GO:0001503; GO:0001525; GO:0001569; GO:0001570; GO:0001937; GO:0001938; GO:0005125; GO:0005576; GO:0006879; GO:0008083; GO:0008156; GO:0010596; GO:0016525; GO:0030308; GO:0030509; GO:0030513; GO:0030858; GO:0032757; GO:0032924; GO:0043537; GO:0045603; GO:0045747; GO:0045766; GO:0045893; GO:0045944; GO:0048514; GO:0051216; GO:0060391; GO:0061036; GO:0070062; GO:0071773; GO:1903348
Q9UNG2	TNF18_HUMAN	reviewed	TNFSF18	TNFSF18 AITRL GITRL TL6 UNQ149/PRO175	Tumor necrosis factor ligand superfamily member 18 (Activation-inducible TNF-related ligand) (AITRL) (Glucocorticoid-induced TNF-related ligand) (hGITRL)	9606	KW-0002; KW-1064; KW-1003; KW-0202; KW-1015; KW-0325; KW-0391; KW-0472; KW-1267; KW-1185; KW-0735; KW-0812; KW-1133	GO:0002309; GO:0002687; GO:0005102; GO:0005164; GO:0005886; GO:0007165; GO:0007267; GO:0009986; GO:0010759; GO:0032813; GO:0033209; GO:0042129; GO:0042531; GO:0042802; GO:0043066; GO:0043254; GO:0045785; GO:0050729; GO:0090026; GO:2000329; GO:2000508
Q9Y258	CCL26_HUMAN	reviewed	CCL26	CCL26 SCYA26 UNQ216/PRO242	C-C motif chemokine 26 (CC chemokine IMAC) (Eotaxin-3) (Macrophage inflammatory protein 4-alpha) (MIP-4-alpha) (Small-inducible cytokine A26) (Thymic stroma chemokine-1) (TSC-1)	9606	KW-0002; KW-0145; KW-0202; KW-0903; KW-1015; KW-0395; KW-1267; KW-1185; KW-0964; KW-0732	GO:0001938; GO:0002548; GO:0005576; GO:0006935; GO:0006954; GO:0007165; GO:0007267; GO:0008009; GO:0010818; GO:0030335; GO:0030838; GO:0031728; GO:0031737; GO:0048018; GO:0048020; GO:0048245; GO:0050921; GO:0060326; GO:0061844; GO:0070098
Q9Y275	TN13B_HUMAN	reviewed	TNFSF13B	TNFSF13B BAFF BLYS TALL1 TNFSF20 ZTNF4 UNQ401/PRO738	Tumor necrosis factor ligand superfamily member 13B (B lymphocyte stimulator) (BLyS) (B-cell-activating factor) (BAFF) (Dendritic cell-derived TNF-like molecule) (TNF- and APOL-related leukocyte expressed ligand 1) (TALL-1) (CD antigen CD257) [Cleaved into: Tumor necrosis factor ligand superfamily member 13b, membrane form; Tumor necrosis factor ligand superfamily member 13b, soluble form]	9606	KW-0002; KW-0025; KW-1003; KW-0165; KW-0202; KW-0903; KW-1015; KW-0325; KW-0391; KW-0472; KW-1267; KW-1185; KW-0964; KW-0735; KW-0812; KW-1133	GO:0002260; GO:0005102; GO:0005125; GO:0005164; GO:0005576; GO:0005737; GO:0005886; GO:0006955; GO:0007165; GO:0010467; GO:0016020; GO:0030183; GO:0030890; GO:0033209; GO:0043588; GO:0048471
Q9Y4X3	CCL27_HUMAN	reviewed	CCL27	CCL27 ILC SCYA27	C-C motif chemokine 27 (CC chemokine ILC) (Cutaneous T-cell-attracting chemokine) (CTACK) (ESkine) (IL-11 R-alpha-locus chemokine) (Skinkine) (Small-inducible cytokine A27)	9606	KW-0002; KW-0202; KW-0903; KW-1015; KW-1267; KW-1185; KW-0964; KW-0732	GO:0005576; GO:0006935; GO:0006954; GO:0006955; GO:0007267; GO:0008009; GO:0030593; GO:0031728; GO:0045236; GO:0061844; GO:0071222
Q9Y6F9	WNT6_HUMAN	reviewed	WNT6	WNT6	Protein Wnt-6	9606	KW-0217; KW-1015; KW-0272; KW-0325; KW-0449; KW-1267; KW-1185; KW-0964; KW-0732; KW-0879	GO:0005109; GO:0005125; GO:0005576; GO:0005788; GO:0005796; GO:0005886; GO:0009986; GO:0010628; GO:0030182; GO:0030666; GO:0031012; GO:0042475; GO:0045165; GO:0060070; GO:0061303; GO:0070062; GO:0070172; GO:0071300
P01566	IFN10_HUMAN	reviewed	IFNA10	IFNA10	Interferon alpha-10 (IFN-alpha-10) (Interferon alpha-6L) (Interferon alpha-C) (LeIF C)	9606	KW-0051; KW-0202; KW-0903; KW-1015; KW-1267; KW-1185; KW-0964; KW-0732	GO:0002250; GO:0002286; GO:0002312; GO:0002323; GO:0005125; GO:0005132; GO:0005576; GO:0006959; GO:0043330; GO:0060337; GO:0098586
P01567	IFNA7_HUMAN	reviewed	IFNA7	IFNA7	Interferon alpha-7 (IFN-alpha-7) (Interferon alpha-J) (LeIF J) (Interferon alpha-J1) (IFN-alpha-J1)	9606	KW-0051; KW-0202; KW-0903; KW-1015; KW-1267; KW-1185; KW-0964; KW-0732	GO:0002250; GO:0002286; GO:0002312; GO:0002323; GO:0005125; GO:0005132; GO:0005576; GO:0006959; GO:0007267; GO:0009615; GO:0043330; GO:0060337; GO:0098586
P01569	IFNA5_HUMAN	reviewed	IFNA5	IFNA5	Interferon alpha-5 (IFN-alpha-5) (Interferon alpha-61) (Interferon alpha-G) (LeIF G)	9606	KW-0051; KW-0202; KW-0903; KW-1015; KW-1267; KW-1185; KW-0964; KW-0732	GO:0002250; GO:0002286; GO:0002312; GO:0002323; GO:0005125; GO:0005126; GO:0005132; GO:0005576; GO:0006959; GO:0043330; GO:0060337; GO:0098586
P01571	IFN17_HUMAN	reviewed	IFNA17	IFNA17	Interferon alpha-17 (IFN-alpha-17) (Interferon alpha-88) (Interferon alpha-I') (LeIF I) (Interferon alpha-T)	9606	KW-0051; KW-0202; KW-0903; KW-1015; KW-1185; KW-0964; KW-0732	GO:0002250; GO:0002286; GO:0002312; GO:0002323; GO:0005125; GO:0005132; GO:0005576; GO:0006959; GO:0009615; GO:0043330; GO:0060337; GO:0098586
P05013	IFNA6_HUMAN	reviewed	IFNA6	IFNA6	Interferon alpha-6 (IFN-alpha-6) (Interferon alpha-54) (Interferon alpha-K) (LeIF K)	9606	KW-0051; KW-0202; KW-0903; KW-1015; KW-1267; KW-1185; KW-0964; KW-0732	GO:0002250; GO:0002286; GO:0002312; GO:0002323; GO:0005125; GO:0005132; GO:0005576; GO:0006959; GO:0043330; GO:0060337; GO:0098586
P05015	IFN16_HUMAN	reviewed	IFNA16	IFNA16	Interferon alpha-16 (IFN-alpha-16) (Interferon alpha-WA)	9606	KW-0051; KW-0202; KW-1015; KW-1267; KW-1185; KW-0964; KW-0732	GO:0002250; GO:0002286; GO:0002312; GO:0002323; GO:0005125; GO:0005132; GO:0005576; GO:0006959; GO:0043330; GO:0060337; GO:0098586
P0DY56	IFNA1_HUMAN	reviewed	IFNA1	IFNA1	Interferon alpha-1 (IFN-alpha-1) (Interferon alpha-D) (LeIF D)	9606	KW-0002; KW-0051; KW-0202; KW-0903; KW-1015; KW-1185; KW-0964; KW-0732	GO:0005126; GO:0005576; GO:0006952
P19876	CXCL3_HUMAN	reviewed	CXCL3	CXCL3 GRO3 GROG SCYB3	C-X-C motif chemokine 3 (GRO-gamma(1-73)) (Growth-regulated protein gamma) (GRO-gamma) (Macrophage inflammatory protein 2-beta) (MIP2-beta) [Cleaved into: GRO-gamma(5-73)]	9606	KW-0002; KW-0145; KW-0202; KW-0903; KW-1015; KW-0395; KW-1267; KW-1185; KW-0964; KW-0732	GO:0005576; GO:0006952; GO:0006955; GO:0008009; GO:0030593
P34820	BMP8B_HUMAN	reviewed	BMP8B	BMP8B BMP8	Bone morphogenetic protein 8B (BMP-8) (BMP-8B) (Osteogenic protein 2) (OP-2)	9606	KW-0025; KW-0891; KW-0202; KW-0217; KW-0221; KW-1015; KW-0325; KW-0339; KW-0892; KW-1267; KW-1185; KW-0964; KW-0732	GO:0001501; GO:0005125; GO:0005576; GO:0008083; GO:0030509; GO:0045596
P55103	INHBC_HUMAN	reviewed	INHBC	INHBC	Inhibin beta C chain (Activin beta-C chain)	9606	KW-0165; KW-1015; KW-0325; KW-0339; KW-0372; KW-1267; KW-1185; KW-0964; KW-0732	GO:0005125; GO:0005160; GO:0005179; GO:0005576; GO:0007178; GO:0008083
P58166	INHBE_HUMAN	reviewed	INHBE	INHBE	Inhibin beta E chain (Activin beta-E chain)	9606	KW-0165; KW-1015; KW-0325; KW-0339; KW-0372; KW-1267; KW-1185; KW-0964; KW-0732	GO:0005125; GO:0005179; GO:0005576; GO:0007178; GO:0008083; GO:0031012; GO:1904178
Q1L6U9	MSMP_HUMAN	reviewed	MSMP	MSMP PSMP	Prostate-associated microseminoprotein (PC3-secreted microprotein)	9606	KW-0145; KW-0202; KW-1015; KW-0395; KW-1267; KW-1185; KW-0964; KW-0732	GO:0002548; GO:0005576; GO:0005737; GO:0031727; GO:0048247
Q7Z4P5	GDF7_HUMAN	reviewed	GDF7	GDF7	Growth/differentiation factor 7 (GDF-7)	9606	KW-0165; KW-0202; KW-1015; KW-0325; KW-0339; KW-1267; KW-1185; KW-0964; KW-0732	GO:0005125; GO:0005576; GO:0008083; GO:0010628; GO:0030509; GO:0032924; GO:0042802; GO:0045893; GO:0060391; GO:2001051
Q86WN2	IFNE_HUMAN	reviewed	IFNE	IFNE IFNE1 UNQ360/PRO655	Interferon epsilon (IFN-epsilon) (Interferon epsilon-1)	9606	KW-0051; KW-0202; KW-1015; KW-0325; KW-1267; KW-1185; KW-0964; KW-0732	GO:0002250; GO:0002286; GO:0002312; GO:0002323; GO:0005125; GO:0005132; GO:0005576; GO:0006959; GO:0042742; GO:0043330; GO:0051607; GO:0060337; GO:0098586
Q86YJ6	THNS2_HUMAN	reviewed	THNSL2	THNSL2	Threonine synthase-like 2 (TSH2) (EC 4.2.3.-) (Secreted osteoclastogenic factor of activated T-cells) (SOFAT)	9606	KW-0025; KW-0202; KW-0456; KW-1267; KW-0663; KW-1185; KW-0964	GO:0005576; GO:0016791; GO:0030170; GO:0070905
Q8IZJ0	IFNL2_HUMAN	reviewed	IFNL2	IFNL2 IL28A ZCYTO20	Interferon lambda-2 (IFN-lambda-2) (Cytokine Zcyto20) (Interleukin-28A) (IL-28A)	9606	KW-0051; KW-0202; KW-1015; KW-1267; KW-1185; KW-0964; KW-0732	GO:0002385; GO:0005102; GO:0005125; GO:0005576; GO:0007259; GO:0038196; GO:0045087; GO:0050778; GO:0051607; GO:0098586
Q8IZV2	CKLF8_HUMAN	reviewed	CMTM8	CMTM8 CKLFSF8	CKLF-like MARVEL transmembrane domain-containing protein 8 (Chemokine-like factor superfamily member 8)	9606	KW-0025; KW-0145; KW-0202; KW-0963; KW-0472; KW-0539; KW-1267; KW-1185; KW-0812; KW-1133	GO:0005634; GO:0005737; GO:0016020; GO:0019911; GO:0042552
Q96QR1	SG3A1_HUMAN	reviewed	SCGB3A1	SCGB3A1 HIN1 PNSP2 UGRP2 UNQ629/PRO1245	Secretoglobin family 3A member 1 (Cytokine HIN-1) (High in normal 1) (Pneumo secretory protein 2) (PnSP-2) (Uteroglobin-related protein 2)	9606	KW-0202; KW-0903; KW-1015; KW-1267; KW-1185; KW-0964; KW-0732	GO:0005125; GO:0005576; GO:0030308; GO:0042127; GO:0070062; GO:1901741
Q9P0M4	IL17C_HUMAN	reviewed	IL17C	IL17C UNQ561/PRO1122	Interleukin-17C (IL-17C) (Cytokine CX2)	9606	KW-0202; KW-1015; KW-0395; KW-1267; KW-1185; KW-0964; KW-0732	GO:0005125; GO:0005576; GO:0005886; GO:0006954; GO:0007166; GO:0007267; GO:0070534; GO:0072538
Q6EBC2	IL31_HUMAN	reviewed	IL31	IL31	Interleukin-31 (IL-31)	9606	KW-0202; KW-0325; KW-0391; KW-1185; KW-0964; KW-0732	GO:0005125; GO:0005126; GO:0005576; GO:0019221
Q6UX52	IL40_HUMAN	reviewed	C17orf99	C17orf99 IL40 UNQ464/PRO809	Protein IL-40 (Interleukin-40) (IL-40)	9606	KW-1064; KW-0202; KW-0903; KW-0325; KW-0391; KW-1267; KW-1185; KW-0964; KW-0732	GO:0002313; GO:0004888; GO:0005576; GO:0006955; GO:0007166; GO:0009897; GO:2000558
