Entry	Entry Name	Reviewed	Gene Names (primary)	Gene Names	Protein names	Organism (ID)	Keyword ID	Gene Ontology IDs
Q14005	IL16_HUMAN	reviewed	IL16	IL16	Pro-interleukin-16 [Cleaved into: Interleukin-16 (IL-16) (Lymphocyte chemoattractant factor) (LCF)]	9606	KW-0002; KW-0877; KW-0025; KW-0145; KW-0202; KW-0963; KW-0903; KW-0945; KW-0539; KW-0597; KW-1267; KW-1185; KW-0677; KW-0964; KW-0804; KW-0805	GO:0005125; GO:0005576; GO:0005829; GO:0006955; GO:0016607; GO:0019221; GO:0032730; GO:0032735; GO:0032755; GO:0042609; GO:0050729; GO:0050930
Q14116	IL18_HUMAN	reviewed	IL18	IL18 IGIF IL1F4	Interleukin-18 (IL-18) (Iboctadekin) (Interferon gamma-inducing factor) (IFN-gamma-inducing factor) (Interleukin-1 gamma) (IL-1 gamma)	9606	KW-0002; KW-0025; KW-0202; KW-0963; KW-0903; KW-0395; KW-1267; KW-1185; KW-0964	GO:0001525; GO:0002826; GO:0005125; GO:0005576; GO:0005829; GO:0006954; GO:0006955; GO:0007267; GO:0010744; GO:0019221; GO:0030155; GO:0030431; GO:0032722; GO:0032725; GO:0032729; GO:0032736; GO:0032740; GO:0032819; GO:0034105; GO:0035655; GO:0042088; GO:0042092; GO:0042104; GO:0042531; GO:0042632; GO:0045063; GO:0045092; GO:0045515; GO:0045630; GO:0045944; GO:0048661; GO:0050729; GO:0050830; GO:0051142; GO:0051897; GO:0061436; GO:0070328; GO:0071222; GO:0120162; GO:0140368; GO:0150078; GO:1901224; GO:2000556
Q14213	IL27B_HUMAN	reviewed	EBI3	EBI3 IL27B	Interleukin-27 subunit beta (IL-27 subunit beta) (IL-27B) (Epstein-Barr virus-induced gene 3 protein) (EBV-induced gene 3 protein)	9606	KW-0002; KW-0202; KW-0325; KW-1267; KW-1185; KW-0677; KW-0964; KW-0732	GO:0002826; GO:0004896; GO:0005576; GO:0005788; GO:0005886; GO:0006959; GO:0007259; GO:0030888; GO:0032729; GO:0032733; GO:0042088; GO:0042098; GO:0042129; GO:0043066; GO:0043235; GO:0043410; GO:0045523; GO:0046641; GO:0070106; GO:0070745; GO:0070757
Q15848	ADIPO_HUMAN	reviewed	ADIPOQ	ADIPOQ ACDC ACRP30 APM1 GBP28	Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipose most abundant gene transcript 1 protein) (apM-1) (Gelatin-binding protein)	9606	KW-0002; KW-0176; KW-0219; KW-0903; KW-0225; KW-1015; KW-0325; KW-0372; KW-0379; KW-0550; KW-0582; KW-1267; KW-1185; KW-0677; KW-0964; KW-0732	GO:0005102; GO:0005125; GO:0005179; GO:0005576; GO:0005783; GO:0006006; GO:0006091; GO:0006635; GO:0009749; GO:0009967; GO:0009986; GO:0010642; GO:0010745; GO:0010804; GO:0010875; GO:0010906; GO:0019395; GO:0030336; GO:0030853; GO:0031012; GO:0032720; GO:0032757; GO:0032869; GO:0033034; GO:0033211; GO:0033691; GO:0034115; GO:0034383; GO:0034612; GO:0038002; GO:0042593; GO:0042803; GO:0043123; GO:0043124; GO:0043407; GO:0043539; GO:0045599; GO:0045650; GO:0045721; GO:0045776; GO:0045923; GO:0046326; GO:0048261; GO:0050728; GO:0050765; GO:0050805; GO:0050873; GO:0050996; GO:0060621; GO:0070373; GO:0071466; GO:0071639; GO:0120162; GO:0120163; GO:0140144; GO:0141163; GO:1904706; GO:1904753; GO:2000467; GO:2000534; GO:2000584; GO:2000590
Q16552	IL17_HUMAN	reviewed	IL17A	IL17A CTLA8 IL17	Interleukin-17A (IL-17) (IL-17A) (Cytotoxic T-lymphocyte-associated antigen 8) (CTLA-8)	9606	KW-0002; KW-1064; KW-0202; KW-0903; KW-1015; KW-0325; KW-0391; KW-0395; KW-0399; KW-1267; KW-1185; KW-0964; KW-0732	GO:0002225; GO:0005125; GO:0005576; GO:0005886; GO:0006915; GO:0006954; GO:0006955; GO:0007219; GO:0007267; GO:0008219; GO:0009611; GO:0009897; GO:0010467; GO:0030216; GO:0032731; GO:0032735; GO:0032739; GO:0032747; GO:0032755; GO:0032760; GO:0038173; GO:0042803; GO:0043616; GO:0045672; GO:0045944; GO:0046982; GO:0050829; GO:0050830; GO:0050832; GO:0060729; GO:0070534; GO:0072537; GO:0072538; GO:0097400; GO:0097530; GO:0106015; GO:1900017; GO:1903348; GO:2000340
Q16619	CTF1_HUMAN	reviewed	CTF1	CTF1	Cardiotrophin-1 (CT-1)	9606	KW-0025; KW-0202; KW-1267; KW-1185; KW-0964	GO:0003300; GO:0005125; GO:0005146; GO:0005576; GO:0007259; GO:0007267; GO:0007399; GO:0007517; GO:0008284; GO:0010659; GO:0030182; GO:0038165; GO:0042531
Q16627	CCL14_HUMAN	reviewed	CCL14	CCL14 NCC2 SCYA14	C-C motif chemokine 14 (Chemokine CC-1/CC-3) (HCC-1/HCC-3) (HCC-1(1-74)) (NCC-2) (Small-inducible cytokine A14) [Cleaved into: HCC-1(3-74); HCC-1(4-74); HCC-1(9-74)]	9606	KW-0002; KW-0025; KW-0202; KW-0903; KW-1015; KW-0325; KW-1267; KW-1185; KW-0964; KW-0732	GO:0005576; GO:0006874; GO:0006954; GO:0008009; GO:0008284; GO:0030335; GO:0048020; GO:0060326; GO:0061844; GO:0070098
Q16663	CCL15_HUMAN	reviewed	CCL15	CCL15 MIP5 NCC3 SCYA15	C-C motif chemokine 15 (Chemokine CC-2) (HCC-2) (Leukotactin-1) (LKN-1) (MIP-1 delta) (Macrophage inflammatory protein 5) (MIP-5) (Mrp-2b) (NCC-3) (Small-inducible cytokine A15) [Cleaved into: CCL15(22-92); CCL15(25-92); CCL15(29-92)]	9606	KW-0002; KW-0145; KW-0202; KW-0903; KW-1015; KW-0358; KW-1267; KW-1185; KW-0964; KW-0732	GO:0005102; GO:0005576; GO:0006874; GO:0006935; GO:0006954; GO:0007165; GO:0007267; GO:0008009; GO:0030335; GO:0042056; GO:0048020; GO:0050729; GO:0060326; GO:0061844; GO:0070098
Q6KF10	GDF6_HUMAN	reviewed	GDF6	GDF6 BMP13 GDF16	Growth/differentiation factor 6 (GDF-6) (Bone morphogenetic protein 13) (BMP-13) (Growth/differentiation factor 16)	9606	KW-0053; KW-0160; KW-0165; KW-0202; KW-0209; KW-0217; KW-0225; KW-1015; KW-0242; KW-0325; KW-0339; KW-0901; KW-1013; KW-1010; KW-1267; KW-1185; KW-0964; KW-0732	GO:0001656; GO:0005125; GO:0005576; GO:0006915; GO:0008083; GO:0030509; GO:0032332; GO:0032924; GO:0042802; GO:0045444; GO:0045893; GO:0060391; GO:1900745; GO:1990009
Q6UWK7	GP15L_HUMAN	reviewed	GPR15LG	GPR15LG C10orf99 GPR15L UNQ1833/PRO3446	Protein GPR15LG (Antimicrobial peptide with 57 amino acid residues) (AP-57) (Antimicrobial peptide-57) (Colon-derived SUSD2 binding factor) (CSBF) (Protein GPR15 ligand) (Protein GPR15L) (Secreted protein C10orf99)	9606	KW-0002; KW-0044; KW-0929; KW-0145; KW-0202; KW-0903; KW-1015; KW-0325; KW-1267; KW-1185; KW-0964; KW-0732; KW-0043	GO:0001664; GO:0005576; GO:0007186; GO:0008009; GO:0010837; GO:0043029; GO:0043303; GO:0048018; GO:0048247; GO:0050830; GO:0050832; GO:0051782; GO:0072678; GO:1902807; GO:2000404
